title,japanese release,chapters
Kurapika's Memories,1/21/2013,Kurapika's Memories: Part 1
Kurapika's Memories,1/21/2013,Kurapika's Memories: Part 2
The Day of Departure,6/4/1998,The Day of Departure
The Day of Departure,6/4/1998,An Encounter in the Storm
The Day of Departure,6/4/1998,The Ultimate Choice
The Day of Departure,6/4/1998,Kiriko: Wicked Magical Vulpes
The Day of Departure,6/4/1998,The First Phase Begins: Part 1
The Day of Departure,6/4/1998,The First Phase Begins: Part 2
The Day of Departure,6/4/1998,Respective Reasons
The Day of Departure,6/4/1998,The Other Enemy
A Struggle in the Mist,9/2/1998,A Struggle in the Mist
A Struggle in the Mist,9/2/1998,An Unexpected Task
A Struggle in the Mist,9/2/1998,The Inevitable Outcome
A Struggle in the Mist,9/2/1998,The Chairman Arrives
A Struggle in the Mist,9/2/1998,A Game at Midnight: Part 1
A Struggle in the Mist,9/2/1998,A Game at Midnight: Part 2
A Struggle in the Mist,9/2/1998,The Path of Majority Rules
A Struggle in the Mist,9/2/1998,Enter the Taskmasters
A Struggle in the Mist,9/2/1998,Disparate Choice
Resolution,11/4/1998,The Two Aces in the Hole
Resolution,11/4/1998,The Trap of Majority Rules
Resolution,11/4/1998,Gambling Time
Resolution,11/4/1998,Resolution
Resolution,11/4/1998,The Last Question
Resolution,11/4/1998,Two Enemies
Resolution,11/4/1998,Crash Course
Resolution,11/4/1998,The Second Day
Resolution,11/4/1998,The Night Before the Showdown
End Game (lit. The Final Test Begins!),2/4/1999,A Volatile Situation
End Game (lit. The Final Test Begins!),2/4/1999,A Huge Favor
End Game (lit. The Final Test Begins!),2/4/1999,Killua's Case
End Game (lit. The Final Test Begins!),2/4/1999,The Slithering Trap
End Game (lit. The Final Test Begins!),2/4/1999,By the Skin of Their Teeth...
End Game (lit. The Final Test Begins!),2/4/1999,And the Final Test...?
End Game (lit. The Final Test Begins!),2/4/1999,The Final Test Begins!
End Game (lit. The Final Test Begins!),2/4/1999,The First Candidate Accepted?!
End Game (lit. The Final Test Begins!),2/4/1999,Light and Darkness: Part 1
Family Matters (lit. Ging Freecss),4/30/1999,Light and Darkness: Part 2
Family Matters (lit. Ging Freecss),4/30/1999,Light and Darkness: Part 3
Family Matters (lit. Ging Freecss),4/30/1999,Ging Freecss
Family Matters (lit. Ging Freecss),4/30/1999,Intruder
Family Matters (lit. Ging Freecss),4/30/1999,The Zoldycks: Part 1
Family Matters (lit. Ging Freecss),4/30/1999,The Zoldycks: Part 2
Family Matters (lit. Ging Freecss),4/30/1999,The Zoldycks: Part 3
Family Matters (lit. Ging Freecss),4/30/1999,The Zoldycks: Part 4
Family Matters (lit. Ging Freecss),4/30/1999,The Heavens Arena
Nen Sense (lit. Hisoka's Terms),10/4/1999,Ren
Nen Sense (lit. Hisoka's Terms),10/4/1999,Nen
Nen Sense (lit. Hisoka's Terms),10/4/1999,The Invisible Wall
Nen Sense (lit. Hisoka's Terms),10/4/1999,Hisoka's Terms
Nen Sense (lit. Hisoka's Terms),10/4/1999,The Battle Begins!!
Nen Sense (lit. Hisoka's Terms),10/4/1999,Zetsu
Nen Sense (lit. Hisoka's Terms),10/4/1999,Ten
Nen Sense (lit. Hisoka's Terms),10/4/1999,Kastro
Nen Sense (lit. Hisoka's Terms),10/4/1999,Double
Nen Sense (lit. Hisoka's Terms),10/4/1999,Cause of Defeat
Nen Combatant (lit. Next),12/22/1999,As for Hisoka...
Nen Combatant (lit. Next),12/22/1999,Training Resumes
Nen Combatant (lit. Next),12/22/1999,Promise
Nen Combatant (lit. Next),12/22/1999,Rematch
Nen Combatant (lit. Next),12/22/1999,Making the Grade
Nen Combatant (lit. Next),12/22/1999,Passing the Exam
Nen Combatant (lit. Next),12/22/1999,Showdown
Nen Combatant (lit. Next),12/22/1999,Like You Mean It
Nen Combatant (lit. Next),12/22/1999,Next
The Island (lit. The Auction Begins!!),4/4/2000,Homecoming
The Island (lit. The Auction Begins!!),4/4/2000,About Ging
The Island (lit. The Auction Begins!!),4/4/2000,The Tape
The Island (lit. The Auction Begins!!),4/4/2000,The Flesh Collector's Mansion: Part 1
The Island (lit. The Auction Begins!!),4/4/2000,The Flesh Collector's Mansion: Part 2
The Island (lit. The Auction Begins!!),4/4/2000,Greed Island
The Island (lit. The Auction Begins!!),4/4/2000,To Yorknew
